id,title,ingredients,instructions,cuisine,tags,time_minutes
1,Classic Margherita Pizza,"tomato sauce, mozzarella cheese, basil, olive oil, pizza dough","Roll out pizza dough. Spread tomato sauce evenly. Add mozzarella cheese. Bake at 450°F for 12-15 minutes. Garnish with fresh basil and drizzle olive oil.",Italian,"vegetarian,quick",30
2,Chicken Stir Fry,"chicken breast, bell pepper, onion, soy sauce, garlic, ginger, vegetable oil","Cut chicken into strips. Heat oil in wok. Cook chicken until golden. Add vegetables and stir fry for 5 minutes. Add soy sauce, garlic, and ginger. Serve hot.",Asian,"quick,protein",25
3,Caesar Salad,"romaine lettuce, parmesan cheese, croutons, caesar dressing, lemon","Chop romaine lettuce. Toss with caesar dressing. Add croutons and shaved parmesan. Squeeze fresh lemon juice on top.",American,"salad,quick",15
4,Spaghetti Carbonara,"spaghetti, bacon, eggs, parmesan cheese, black pepper, garlic","Cook spaghetti. Fry bacon until crispy. Mix eggs with parmesan. Combine hot pasta with bacon, then add egg mixture off heat. Season with black pepper.",Italian,"pasta,comfort",25
5,Beef Tacos,"ground beef, taco shells, lettuce, tomato, cheese, sour cream, onion","Brown ground beef with spices. Warm taco shells. Fill with beef, lettuce, tomato, cheese, and sour cream. Top with diced onion.",Mexican,"quick,family",20
6,Greek Salad,"cucumber, tomato, feta cheese, olives, red onion, olive oil, lemon","Chop cucumber and tomato. Add feta cheese, olives, and sliced red onion. Dress with olive oil and lemon juice.",Greek,"salad,vegetarian",10
7,Chicken Curry,"chicken thighs, curry powder, coconut milk, onion, garlic, ginger, tomato","Sauté onion, garlic, and ginger. Add chicken and brown. Stir in curry powder and tomato. Pour coconut milk and simmer 30 minutes.",Indian,"curry,comfort",45
8,Mushroom Risotto,"arborio rice, mushrooms, vegetable broth, white wine, parmesan cheese, onion, butter","Sauté mushrooms and onion. Add rice and toast. Gradually add broth while stirring. Finish with parmesan and butter.",Italian,"vegetarian,comfort",40
9,Grilled Salmon,"salmon fillet, lemon, dill, olive oil, garlic, salt, pepper","Marinate salmon with lemon, dill, garlic, and olive oil. Grill for 4-5 minutes per side. Season with salt and pepper.",Seafood,"healthy,protein",20
10,Vegetable Soup,"carrot, celery, onion, potato, vegetable broth, tomato, herbs","Chop all vegetables. Sauté onion, carrot, and celery. Add potato, tomato, and broth. Simmer until vegetables are tender. Season with herbs.",American,"soup,vegetarian,healthy",35
